modelo,threshold,train_accuracy,cv_accuracy_mean,test_accuracy,gap_train_test_accuracy,train_f1,cv_f1_mean,test_f1,gap_train_test_f1,train_roc_auc,cv_roc_auc_mean,test_roc_auc,gap_train_test_auc,test_precision,test_recall,test_pr_auc,indicio_overfitting
XGBoost,0.25,0.8083623693379791,0.7263463005339436,0.7561327561327561,0.05222961320522301,0.8796498905908097,0.7970031478993451,0.8344760039177277,0.045173886673081975,0.8559040880503145,0.8071017740429506,0.8102934026479168,0.045610685402397655,0.7607142857142857,0.9240780911062907,0.895309986181966,moderado
Random Forest,0.25,0.8170731707317073,0.7437833714721587,0.746031746031746,0.07104142469996122,0.8884165781083954,0.8129723859891769,0.8382352941176471,0.05018128399074828,0.8990094339622641,0.834794584500467,0.8191431670281996,0.07986626693406451,0.7272727272727273,0.9891540130151844,0.9012253999736712,moderado
Extra Trees,0.3,0.8066202090592335,0.7368421052631579,0.7445887445887446,0.062031464470488906,0.881283422459893,0.8006795096373128,0.8279883381924198,0.0532950842674732,0.869559748427673,0.8392203548085903,0.7983487919814496,0.07121095644622344,0.75,0.9240780911062907,0.8899905555776453,moderado
Regressao Logistica,0.15,0.8013937282229965,0.7751945080091533,0.7301587301587301,0.07123499806426636,0.8784648187633263,0.8313116727316032,0.8213944603629417,0.05707035840038455,0.8944811320754718,0.852157796451914,0.7946929463684642,0.09978818570700754,0.7337883959044369,0.9327548806941431,0.8895972043952334,forte
