modelo,threshold,train_accuracy,cv_accuracy_mean,test_accuracy,gap_train_cv_accuracy,gap_train_test_accuracy,train_f1,cv_f1_mean,test_f1,gap_train_cv_f1,gap_train_test_f1,train_roc_auc,cv_roc_auc_mean,test_roc_auc,gap_train_cv_auc,gap_train_test_auc,indicio_overfitting
Extra Trees,0.4,0.9355400696864111,0.7803356216628529,0.7200577200577201,0.15520444802355826,0.21548234962869106,0.9564193168433451,0.841302882399971,0.7733644859813084,0.11511643444337416,0.18305483086203678,0.9797798742138364,0.8516788048552755,0.8050714339142793,0.12810106935856092,0.17470844029955712,forte
XGBoost,0.15,0.9233449477351916,0.7804424103737605,0.7243867243867244,0.1429025373614311,0.19895822334846724,0.950561797752809,0.8505286500425523,0.8136585365853658,0.10003314771025673,0.13690326116744322,0.9978616352201258,0.8371802054154995,0.787568254918094,0.1606814298046263,0.21029338030203182,forte
Random Forest,0.375,0.9250871080139372,0.7873531655225019,0.7489177489177489,0.13773394249143533,0.17616935909618836,0.95096921322691,0.8541621302848847,0.8172268907563025,0.09680708294202522,0.13374232247060747,0.9768396226415095,0.8407628384687207,0.8152068217518138,0.1360767841727888,0.16163280088969567,forte
Regressao Logistica,0.125,0.8031358885017421,0.7787032799389779,0.7258297258297258,0.02443260856276419,0.07730616267201629,0.8796592119275826,0.8354109674094546,0.8207547169811321,0.04424824451812792,0.05890449494645045,0.8996855345911949,0.853579831932773,0.7928883985339218,0.046105702658421954,0.10679713605727315,forte
