modelo,accuracy,precision,recall,f1,roc_auc,pr_auc,cv_accuracy_mean,cv_accuracy_std,cv_recall_mean,cv_f1_mean,rank_acuracia_teste,delta_accuracy_teste_vs_cv
Regressao Logistica,0.7373737373737373,0.7350746268656716,0.6396103896103896,0.6840277777777778,0.8317338505650194,0.813427904935317,0.7752707856598017,0.045098102883397745,0.7780821917808218,0.8148433440906944,1,-0.03789704828606433
XGBoost,0.6868686868686869,0.5986984815618221,0.8961038961038961,0.717815344603381,0.8450497554393658,0.826196654837839,0.7525705568268497,0.0556349418635757,0.7643835616438356,0.7969711709562991,2,-0.06570186995816285
Random Forest,0.6753246753246753,0.588865096359743,0.8928571428571429,0.7096774193548387,0.8277787147917018,0.8129434478590745,0.7542944317315026,0.04934295982338882,0.7808219178082192,0.8013405407835663,3,-0.07896975640682724
Extra Trees,0.658008658008658,0.5766738660907127,0.8668831168831169,0.6926070038910506,0.8104233428908754,0.7854262890756122,0.7543249427917621,0.04396299700005109,0.758904109589041,0.7967336795871288,4,-0.09631628478310406
